date,om_tmax_c,om_tmin_c,om_precip_mm,om_rad_mj,om_eto_mm,np_tmax_c,np_tmin_c,np_tmean_c,np_rh_pct,np_precip_mm,np_rad_mj,np_ps_kpa
2016-01-01,28.0,17.5,0.0,0.03244,6.27,26.19,13.9,19.56,62.77,0.04,22.87,9.548
2016-01-02,27.7,16.9,0.0,0.03259,6.41,25.81,14.6,19.36,59.92,0.02,23.99,9.562999999999999
2016-01-03,25.5,17.2,0.0,0.02476,4.83,23.65,14.14,18.61,65.21,0.1,21.45,9.564
2016-01-04,28.1,18.4,0.0,0.01759,3.88,24.37,14.46,19.35,60.71,1.54,14.32,9.576
2016-01-05,30.1,21.0,0.0,0.02621,5.64,27.87,18.25,22.3,50.19,0.27,19.15,9.581
2016-01-06,28.3,20.7,0.1,0.02907,5.9,26.72,16.18,21.33,60.65,0.26,21.65,9.584999999999999
2016-01-07,26.7,18.5,0.1,0.02907,5.57,24.91,14.96,19.26,70.03,0.18,22.92,9.576
2016-01-08,26.6,18.3,0.0,0.0252,4.96,24.64,14.22,18.25,69.47,0.17,22.31,9.584
2016-01-09,28.3,17.7,0.0,0.03294,6.45,25.91,13.69,19.57,61.35,0.0,32.77,9.578
2016-01-10,27.7,17.3,0.0,0.032659999999999995,6.29,26.19,14.09,19.86,60.04,0.02,27.09,9.579
2016-01-11,26.2,17.7,0.0,0.0293,5.46,24.26,13.46,18.25,70.54,0.11,18.7,9.584
2016-01-12,26.9,16.5,0.0,0.02811,5.53,24.03,13.52,18.6,63.95,0.03,25.87,9.602
2016-01-13,28.6,18.0,0.0,0.03288,6.51,26.5,14.58,20.09,58.9,0.02,29.71,9.591
2016-01-14,27.7,17.7,0.0,0.030449999999999998,5.94,26.08,13.97,19.56,63.13,0.05,27.6,9.593
2016-01-15,30.4,17.5,0.0,0.03313,6.96,28.32,14.96,21.49,49.39,0.33,33.11,9.581999999999999
2016-01-16,29.7,18.9,0.0,0.0327,6.68,28.43,15.68,21.9,52.28,0.0,32.36,9.568000000000001
2016-01-17,31.3,19.3,0.0,0.03283,6.83,29.86,16.66,22.78,46.15,0.07,30.65,9.562999999999999
2016-01-18,29.1,20.4,0.0,0.032490000000000005,6.38,27.21,15.7,21.39,55.08,0.0,25.65,9.568000000000001
2016-01-19,29.0,18.8,0.0,0.03153,6.18,26.79,15.04,20.58,62.37,0.0,28.76,9.562000000000001
2016-01-20,29.6,20.7,0.0,0.03156,6.27,27.29,16.58,21.52,62.21,0.0,24.76,9.574
2016-01-21,28.1,19.4,0.0,0.0249,4.89,26.54,15.52,20.67,69.65,0.03,22.64,9.583
2016-01-22,27.9,18.7,0.0,0.027899999999999998,5.38,27.6,15.14,20.83,66.56,0.03,27.06,9.572
2016-01-23,26.4,18.4,0.5,0.02291,4.48,22.18,14.99,18.67,75.95,1.58,15.26,9.568000000000001
2016-01-24,26.8,17.8,2.4,0.020460000000000002,4.16,24.02,14.2,18.74,63.83,1.6,28.1,9.577
2016-01-25,25.0,17.6,0.0,0.019530000000000002,3.85,24.39,14.25,18.39,67.8,0.0,17.82,9.581
2016-01-26,27.4,17.3,0.0,0.02958,5.77,25.08,14.75,19.43,62.53,0.01,27.08,9.6
2016-01-27,28.9,17.9,0.0,0.029769999999999998,6.09,26.51,14.77,19.74,61.84,0.0,24.57,9.578
2016-01-28,29.2,19.2,0.0,0.02798,5.81,27.67,15.61,20.68,61.52,0.0,22.13,9.565999999999999
2016-01-29,27.9,18.5,0.0,0.02603,5.25,25.49,14.55,19.42,67.91,0.06,20.28,9.587
2016-01-30,31.3,19.2,0.0,0.03133,6.43,28.2,14.74,21.56,57.75,0.01,28.32,9.574
2016-01-31,29.5,20.4,0.0,0.02965,5.95,25.55,17.22,21.11,62.89,0.03,18.66,9.58
2016-02-01,29.1,19.5,0.0,0.02924,5.81,25.87,16.96,21.25,64.5,0.0,15.74,9.564
2016-02-02,28.9,19.0,0.0,0.02949,5.76,26.77,16.77,21.52,62.62,0.0,14.18,9.562000000000001
2016-02-03,28.6,19.4,0.0,0.02964,5.8,27.31,16.81,21.44,64.08,0.0,15.41,9.561
2016-02-04,28.1,19.0,0.0,0.02683,5.19,25.7,15.9,20.45,62.28,0.03,20.06,9.575
2016-02-05,29.1,18.3,0.0,0.03005,5.94,25.78,14.46,19.94,60.71,0.09,21.59,9.576
2016-02-06,28.6,18.5,0.0,0.02962,5.77,25.56,15.07,19.89,61.91,0.0,20.91,9.574
2016-02-07,27.2,18.3,0.0,0.02888,5.52,24.77,14.47,19.05,67.96,0.08,22.22,9.57
2016-02-08,27.8,17.6,0.0,0.02974,5.75,25.93,13.99,19.42,66.01,0.07,24.06,9.578
2016-02-09,29.7,20.1,0.0,0.02943,5.83,26.62,15.92,20.7,59.1,0.01,24.59,9.577
2016-02-10,28.4,18.7,0.0,0.02819,5.45,26.27,15.28,20.03,63.83,0.3,19.2,9.584
2016-02-11,27.6,17.7,0.0,0.02928,5.66,26.7,15.12,20.15,56.96,0.01,20.88,9.574
