doy_sin,doy_cos,eto_lag1,eto_lag2,eto_lag3,eto_lag7,rad_lag1,rad_lag3,tmax_lag1,tmax_lag3,tmin_lag1,tmin_lag3,np_rh_lag1,np_rh_lag3,np_rad_lag1,np_rad_lag3,np_precip_lag1,np_precip_lag3,eto_roll7,rad_roll7,np_rh_roll7,precip_roll7,precip_lag1,date,eto_t1
0.2552,0.9669,5.94,6.51,5.53,4.96,0.030449999999999998,0.02811,27.7,26.9,17.7,16.5,63.13,63.95,27.6,25.87,0.05,0.03,6.162857142857143,0.03135285714285714,61.042857142857144,0.0,0.0,2016-01-15,6.68
0.2718,0.9624,6.96,5.94,6.51,6.45,0.03313,0.03288,30.4,28.6,17.5,18.0,49.39,58.9,33.11,29.71,0.33,0.02,6.195714285714286,0.031318571428571425,59.74714285714286,0.0,0.0,2016-01-16,6.83
0.2883,0.9575,6.68,6.96,5.94,6.29,0.0327,0.030449999999999998,29.7,27.7,18.9,17.7,52.28,63.13,32.36,27.6,0.0,0.05,6.272857142857142,0.03134285714285714,57.76285714285715,0.0,0.0,2016-01-17,6.38
0.3047,0.9524,6.83,6.68,6.96,5.46,0.03283,0.03313,31.3,30.4,19.3,17.5,46.15,49.39,30.65,33.11,0.07,0.33,6.404285714285714,0.03179857142857143,55.55428571428571,0.0,0.0,2016-01-18,6.18
0.3211,0.9471,6.38,6.83,6.68,5.53,0.032490000000000005,0.0327,29.1,29.7,20.4,18.9,55.08,52.28,25.65,32.36,0.0,0.0,6.497142857142856,0.032287142857142855,55.32857142857143,0.0,0.0,2016-01-19,6.27
0.3373,0.9414,6.18,6.38,6.83,6.51,0.03153,0.03283,29.0,31.3,18.8,19.3,62.37,46.15,28.76,30.65,0.0,0.07,6.4628571428571435,0.03209857142857143,55.80142857142857,0.0,0.0,2016-01-20,4.89
0.3534,0.9355,6.27,6.18,6.38,5.94,0.03156,0.032490000000000005,29.6,29.1,20.7,20.4,62.21,55.08,24.76,25.65,0.0,0.0,6.312857142857142,0.031305714285714284,56.73285714285714,0.0,0.0,2016-01-21,5.38
0.3695,0.9292,4.89,6.27,6.18,6.96,0.0249,0.03153,28.1,29.0,19.4,18.8,69.65,62.37,22.64,28.76,0.03,0.0,6.087142857142857,0.030558571428571428,59.18571428571429,0.0,0.0,2016-01-22,4.48
0.3854,0.9227,5.38,4.89,6.27,6.68,0.027899999999999998,0.03156,27.9,29.6,18.7,20.7,66.56,62.21,27.06,24.76,0.03,0.0,5.772857142857142,0.02916,62.56714285714286,0.07142857142857142,0.0,2016-01-23,4.16
0.4012,0.916,4.48,5.38,4.89,6.83,0.02291,0.0249,26.4,28.1,18.4,19.4,75.95,69.65,15.26,22.64,1.58,0.03,5.3914285714285715,0.027392857142857142,65.09285714285714,0.41428571428571426,0.5,2016-01-24,3.85
0.4169,0.9089,4.16,4.48,5.38,6.38,0.020460000000000002,0.027899999999999998,26.8,27.9,17.8,18.7,63.83,66.56,28.1,27.06,1.6,0.03,5.03,0.025541428571428573,66.91,0.41428571428571426,2.4,2016-01-25,5.77
0.4325,0.9016,3.85,4.16,4.48,6.18,0.019530000000000002,0.02291,25.0,26.4,17.6,18.4,67.8,75.95,17.82,15.26,0.0,1.58,4.971428571428571,0.025262857142857142,66.93285714285715,0.41428571428571426,0.0,2016-01-26,6.09
